config,mode,seed,episode,env,scarcity,rollout_path,checkpoint_path,config_path,n_rows,embedding_dim,measurement_1_probes.class_counts.NEUTRAL,measurement_1_probes.class_counts.ZAP_AGENT,measurement_1_probes.class_counts.BEING_ZAPPED,measurement_1_probes.class_counts.APPLE_EATEN,measurement_1_probes.probe_5way_auroc_mean,measurement_1_probes.probe_5way_auroc_std,measurement_1_probes.probe_5way_f1_mean,measurement_1_probes.n_aggressor,measurement_1_probes.n_victim,measurement_1_probes.probe_agg_vs_vic_auroc,measurement_2_cka.cka_matrix.NEUTRAL.NEUTRAL,measurement_2_cka.cka_matrix.NEUTRAL.ZAP_AGENT,measurement_2_cka.cka_matrix.NEUTRAL.BEING_ZAPPED,measurement_2_cka.cka_matrix.NEUTRAL.APPLE_EATEN,measurement_2_cka.cka_matrix.ZAP_AGENT.NEUTRAL,measurement_2_cka.cka_matrix.ZAP_AGENT.ZAP_AGENT,measurement_2_cka.cka_matrix.ZAP_AGENT.BEING_ZAPPED,measurement_2_cka.cka_matrix.ZAP_AGENT.APPLE_EATEN,measurement_2_cka.cka_matrix.BEING_ZAPPED.NEUTRAL,measurement_2_cka.cka_matrix.BEING_ZAPPED.ZAP_AGENT,measurement_2_cka.cka_matrix.BEING_ZAPPED.BEING_ZAPPED,measurement_2_cka.cka_matrix.BEING_ZAPPED.APPLE_EATEN,measurement_2_cka.cka_matrix.APPLE_EATEN.NEUTRAL,measurement_2_cka.cka_matrix.APPLE_EATEN.ZAP_AGENT,measurement_2_cka.cka_matrix.APPLE_EATEN.BEING_ZAPPED,measurement_2_cka.cka_matrix.APPLE_EATEN.APPLE_EATEN,measurement_2_cka.n_per_role_cka,measurement_2_cka.class_counts.NEUTRAL,measurement_2_cka.class_counts.ZAP_AGENT,measurement_2_cka.class_counts.BEING_ZAPPED,measurement_2_cka.class_counts.ZAP_WASTE,measurement_2_cka.class_counts.APPLE_EATEN,measurement_2_cka.cka_agg_vs_vic,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.NEUTRAL.APPLE_EATEN,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.ZAP_AGENT.APPLE_EATEN,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.BEING_ZAPPED.APPLE_EATEN,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.NEUTRAL,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.ZAP_AGENT,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.BEING_ZAPPED,measurement_3_rsa.prototype_cosdist_matrix.APPLE_EATEN.APPLE_EATEN,measurement_3_rsa.class_counts.NEUTRAL,measurement_3_rsa.class_counts.ZAP_AGENT,measurement_3_rsa.class_counts.BEING_ZAPPED,measurement_3_rsa.class_counts.ZAP_WASTE,measurement_3_rsa.class_counts.APPLE_EATEN,measurement_3_rsa.cosdist_agg_vs_vic,measurement_4_gradient_transfer.gradient_transfer_n_pairs,measurement_4_gradient_transfer.gradient_transfer_cos_mean,measurement_4_gradient_transfer.gradient_transfer_cos_std,measurement_4_gradient_transfer.gradient_transfer_cos_median,measurement_4_gradient_transfer.gradient_transfer_cos_abs_mean,elapsed_sec,Episode,ViolenceRate_per_agent_step,BeingZappedRate_per_agent_step,CooperationRate_per_agent_step,AppleRate_per_agent_step,BeamUseRate_per_agent_step,AvgReturn_per_agent,EthicalSelectivity,SkippedMinibatches
m1_env_A_sc030,baseline,42,200,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep200.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep200.pt,configs/m1_env_A_sc030.yaml,80000,64,61449,162,170,18219,0.5894857280483138,0.004480190512768593,0.24850052520504812,162,170,0.36238302139037437,1.0,0.0009169415570795536,0.0034217936918139458,0.007850122638046741,0.0009169415570795536,1.0,0.013032805174589157,0.0019885217770934105,0.0034217943903058767,0.013032805174589157,1.0,0.02195247821509838,0.007850122638046741,0.001988522242754698,0.02195247821509838,1.0,162,61449,162,170,0,18219,0.013032805174589157,0.0,0.040871381759643555,0.03810054063796997,0.006683409214019775,0.040871381759643555,-1.1920928955078125e-07,0.00012475252151489258,0.07962340116500854,0.03810054063796997,0.00012475252151489258,5.960464477539063e-08,0.07585608959197998,0.006683409214019775,0.07962340116500854,0.07585608959197998,-1.1920928955078125e-07,61449,162,170,0,18219,0.00012475252151489258,128,-0.1330125778913498,0.4195639491081238,-0.24479258060455322,0.3855710029602051,327.2,200,0.0017,0.0017,0.0,0.2216875,0.0318125,221.6875,0.0,0
m1_env_A_sc030,baseline,42,400,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep400.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep400.pt,configs/m1_env_A_sc030.yaml,80000,64,63702,205,208,15885,0.6177250307491706,0.004415121895420216,0.2512204167113288,205,208,0.39634004702416364,1.0,0.001241888850927353,0.002851134864613414,0.005410872399806976,0.001241888850927353,1.0,0.006397413555532694,0.010854299180209637,0.002851134864613414,0.006397412624210119,1.0,0.006533381994813681,0.005410872399806976,0.01085430197417736,0.006533381994813681,1.0,205,63702,205,208,0,15885,0.006397413555532694,5.960464477539063e-08,0.02642381191253662,0.028470873832702637,0.011849582195281982,0.02642381191253662,0.0,0.00012248754501342773,0.06796956062316895,0.028470873832702637,0.00012248754501342773,-1.1920928955078125e-07,0.07173788547515869,0.011849582195281982,0.06796956062316895,0.07173788547515869,1.1920928955078125e-07,63702,205,208,0,15885,0.00012248754501342773,128,-0.2544591724872589,0.2683364748954773,-0.312081515789032,0.33065205812454224,422.04,400,0.001975,0.001975,0.0,0.212775,0.0384,212.775,0.0,0
m1_env_A_sc030,baseline,42,600,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep600.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep600.pt,configs/m1_env_A_sc030.yaml,80000,64,62317,209,215,17259,0.6337839682251669,0.003922433537646542,0.25712064188546235,209,215,0.4311995246198309,1.0,0.001805788604542613,0.002439991571009159,0.015461881645023823,0.0018057882552966475,1.0,0.0018801664700731635,0.0018329170998185873,0.002439991571009159,0.0018801664700731635,1.0,0.0069887107238173485,0.015461881645023823,0.0018329170998185873,0.0069887107238173485,1.0,209,62317,209,215,0,17259,0.0018801664700731635,-1.1920928955078125e-07,0.015506386756896973,0.012854158878326416,0.02782958745956421,0.015506386756896973,1.1920928955078125e-07,0.0011300444602966309,0.07105898857116699,0.012854158878326416,0.0011300444602966309,0.0,0.07124966382980347,0.02782958745956421,0.07105898857116699,0.07124966382980347,-1.1920928955078125e-07,62317,209,215,0,17259,0.0011300444602966309,128,-0.27598655223846436,0.25616756081581116,-0.30474716424942017,0.31535452604293823,513.51,600,0.002275,0.002275,0.0,0.2149,0.0334875,214.9,0.0,0
m1_env_A_sc030,baseline,42,800,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep800.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep800.pt,configs/m1_env_A_sc030.yaml,80000,64,60044,125,135,19696,0.6450534512596091,0.003173031112450007,0.2679933265376721,125,135,0.3925925925925926,1.0,0.003727010451257229,0.02262166142463684,0.015898019075393677,0.003727009752765298,1.0,0.004381792154163122,0.014150832779705524,0.02262166142463684,0.0043817912228405476,1.0,0.016774332150816917,0.015898019075393677,0.014150832779705524,0.016774337738752365,1.0,125,60044,125,135,0,19696,0.004381792154163122,0.0,0.0396994948387146,0.05410236120223999,0.02986001968383789,0.0396994948387146,-1.1920928955078125e-07,0.002363145351409912,0.12765032052993774,0.05410236120223999,0.002363145351409912,0.0,0.15595126152038574,0.02986001968383789,0.12765032052993774,0.15595126152038574,0.0,60044,125,135,0,19696,0.002363145351409912,128,-0.42908522486686707,0.19402547180652618,-0.45140230655670166,0.43460267782211304,613.05,800,0.0018875,0.0018875,0.0,0.2412375,0.0254875,241.2375,0.0,0
m1_env_A_sc030,baseline,42,1000,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1000.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1000.pt,configs/m1_env_A_sc030.yaml,80000,64,62626,64,66,17244,0.6701602401014461,0.005181328217245044,0.2722426553818337,64,66,0.3217103409411101,1.0,0.008434907533228397,0.02920379489660263,0.03352756053209305,0.008434907533228397,1.0,0.004810974933207035,0.00776325399056077,0.02920379489660263,0.0048109740018844604,1.0,0.009066557511687279,0.03352756425738335,0.00776325399056077,0.009066557511687279,1.0,64,62626,64,66,0,17244,0.004810974933207035,0.0,0.00716090202331543,0.006086885929107666,0.022866129875183105,0.00716090202331543,0.0,0.00017720460891723633,0.03897225856781006,0.006086885929107666,0.00017720460891723633,0.0,0.038725197315216064,0.022866129875183105,0.03897225856781006,0.038725197315216064,0.0,62626,64,66,0,17244,0.00017720460891723633,118,-0.28909438848495483,0.17343130707740784,-0.29993611574172974,0.30117836594581604,1008.72,1000,0.000775,0.000775,0.0,0.239975,0.0140999999999999,239.975,0.0,0
m1_env_A_sc030,baseline,42,1200,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1200.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1200.pt,configs/m1_env_A_sc030.yaml,80000,64,63041,47,47,16865,0.6983127972832923,0.01052303020203117,0.29777354934062783,47,47,0.23888888888888887,1.0,0.008264224976301193,0.006830982398241758,0.041081734001636505,0.008264224976301193,1.0,0.9521329998970032,0.20396535098552704,0.006830982398241758,0.9521329998970032,1.0,0.18759264051914215,0.041081734001636505,0.20396535098552704,0.18759268522262573,1.0,47,63041,47,47,0,16865,0.9521329998970032,0.0,0.02149677276611328,0.015365064144134521,0.02771580219268799,0.02149677276611328,5.960464477539063e-08,0.000823974609375,0.09612667560577393,0.015365064144134521,0.000823974609375,-1.1920928955078125e-07,0.08226102590560913,0.02771580219268799,0.09612667560577393,0.08226102590560913,-1.1920928955078125e-07,63041,47,47,0,16865,0.000823974609375,115,-0.1521129310131073,0.23160944879055023,-0.15947693586349487,0.2268490046262741,961.13,1200,0.0006,0.0006,0.0,0.2393625,0.009375,239.3625,0.0,0
m1_env_A_sc030,baseline,42,1400,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1400.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1400.pt,configs/m1_env_A_sc030.yaml,80000,64,66200,60,64,13676,0.7072822204031655,0.005158269169295371,0.30022040203476674,60,64,0.44129273504273503,1.0,0.017203761264681816,0.034125037491321564,0.015569262206554413,0.017203763127326965,1.0,0.04694502055644989,0.024770168587565422,0.034125037491321564,0.04694502055644989,1.0,0.036075659096241,0.015569262206554413,0.024770168587565422,0.0360756516456604,1.0,60,66200,60,64,0,13676,0.04694502055644989,0.0,0.1354910135269165,0.14792877435684204,0.053174376487731934,0.1354910135269165,0.0,0.0012124180793762207,0.3394829034805298,0.14792877435684204,0.0012124180793762207,0.0,0.35634535551071167,0.053174376487731934,0.3394829034805298,0.35634535551071167,0.0,66200,60,64,0,13676,0.0012124180793762207,122,-0.2475302666425705,0.25370141863822937,-0.2792857587337494,0.30459439754486084,1001.61,1400,0.000525,0.000525,0.0,0.1971875,0.006725,197.1875,0.0,0
m1_env_A_sc030,baseline,42,1600,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1600.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1600.pt,configs/m1_env_A_sc030.yaml,80000,64,64997,106,111,14786,0.7123077404873804,0.003292545688590622,0.2849931633950347,106,111,0.24514740858614376,1.0,0.03880875185132027,0.01461007446050644,0.021845418959856033,0.03880875185132027,1.0,0.014167504385113716,0.009155618958175182,0.01461007446050644,0.014167504385113716,1.0,0.03313969820737839,0.021845418959856033,0.009155618958175182,0.03313969820737839,1.0,106,64997,106,111,0,14786,0.014167504385113716,0.0,0.009664058685302734,0.01331549882888794,0.06261783838272095,0.009664058685302734,5.960464477539063e-08,0.0003184676170349121,0.1162903904914856,0.01331549882888794,0.0003184676170349121,0.0,0.12743675708770752,0.06261783838272095,0.1162903904914856,0.12743675708770752,-1.1920928955078125e-07,64997,106,111,0,14786,0.0003184676170349121,128,-0.1362311989068985,0.2661021053791046,-0.14339998364448547,0.24066269397735596,1022.5,1600,0.0017625,0.0017625,0.0,0.191675,0.0212875,191.675,0.0,0
m1_env_A_sc030,baseline,42,1800,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep1800.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep1800.pt,configs/m1_env_A_sc030.yaml,80000,64,59338,148,154,20360,0.66832118811271,0.003195087918249257,0.2808958762308662,148,154,0.299397231491781,1.0,0.0076937186531722546,0.015984123572707176,0.00928545743227005,0.0076937186531722546,1.0,0.031168745830655098,0.01265249028801918,0.015984123572707176,0.0311687383800745,1.0,0.019768409430980682,0.00928545743227005,0.01265249028801918,0.019768409430980682,1.0,148,59338,148,154,0,20360,0.031168745830655098,-1.1920928955078125e-07,0.0316428542137146,0.02823042869567871,0.04153960943222046,0.0316428542137146,5.960464477539063e-08,0.00024205446243286133,0.1409868597984314,0.02823042869567871,0.00024205446243286133,0.0,0.1339591145515442,0.04153960943222046,0.1409868597984314,0.1339591145515442,-1.1920928955078125e-07,59338,148,154,0,20360,0.00024205446243286133,128,-0.08238963782787323,0.30487293004989624,-0.10134554654359818,0.26075267791748047,974.26,1800,0.0016,0.0016,0.0,0.25755,0.0207499999999999,257.55,0.0,0
m1_env_A_sc030,baseline,42,2000,A,0.3,results/m1_env_A_sc030/rollouts/trajectory_m1_env_A_sc030_baseline_seed42/m1_env_A_sc030_baseline_seed42_ep2000.parquet,results/m1_env_A_sc030/checkpoints/m1_env_A_sc030_baseline_seed42_ep2000.pt,configs/m1_env_A_sc030.yaml,80000,64,62818,94,97,16991,0.7192948235380789,0.004929371251517141,0.29238785912137566,94,97,0.21694983071714374,1.0,0.007279618643224239,0.024205323308706284,0.016504282131791115,0.007279618643224239,1.0,0.0390930101275444,0.025968709960579872,0.024205323308706284,0.0390930101275444,1.0,0.014825974591076374,0.016504282131791115,0.025968709960579872,0.014825974591076374,1.0,94,62818,94,97,0,16991,0.0390930101275444,5.960464477539063e-08,0.0156557559967041,0.009833037853240967,0.06881588697433472,0.0156557559967041,0.0,0.0007919669151306152,0.14589256048202515,0.009833037853240967,0.0007919669151306152,0.0,0.12662744522094727,0.06881588697433472,0.14589256048202515,0.12662744522094727,-1.1920928955078125e-07,62818,94,97,0,16991,0.0007919669151306152,128,-0.05872976779937744,0.27798259258270264,-0.06613373756408691,0.2338908165693283,968.23,2000,0.0011,0.0011,0.0,0.2377874999999999,0.018025,237.7875,0.0,0
