Episode,ViolenceRate_per_agent_step,BeingZappedRate_per_agent_step,CooperationRate_per_agent_step,AppleRate_per_agent_step,BeamUseRate_per_agent_step,AvgReturn_per_agent,EthicalSelectivity,SkippedMinibatches
20,0.0048625000000000005,0.0048625000000000005,0.007275000000000001,0.1360125,0.126175,138.32625,1.4961439588688947,0
40,0.004337500000000001,0.004337500000000001,0.0079625,0.16617499999999996,0.11649999999999998,168.72875,1.8357348703170027,0
60,0.0033250000000000003,0.0033250000000000003,0.006112500000000002,0.15001250000000002,0.07010000000000001,151.97,1.8383458646616544,0
80,0.0027749999999999997,0.0027749999999999997,0.005575000000000001,0.1383125,0.0578125,140.10875,2.0090090090090094,0
100,0.0027,0.0027,0.0050125000000000005,0.1469625,0.05890000000000001,148.5975,1.8564814814814816,0
120,0.00315,0.00315,0.004850000000000001,0.14190000000000003,0.056074999999999986,143.45624999999998,1.53968253968254,0
140,0.0041,0.0041,0.004725000000000001,0.1327875,0.05772499999999999,134.33625,1.152439024390244,0
160,0.0037500000000000007,0.0037500000000000007,0.00515,0.151175,0.06003750000000002,152.83999999999997,1.373333333333333,0
180,0.00455,0.00455,0.0050125000000000005,0.1404625,0.062525,142.07125000000002,1.1016483516483517,0
200,0.0046875000000000016,0.0046875000000000016,0.004987500000000001,0.14978750000000002,0.059824999999999996,151.37375,1.0639999999999998,0
220,0.004312500000000001,0.004312500000000001,0.0051625,0.14430000000000004,0.059662499999999986,145.95749999999998,1.197101449275362,0
240,0.0048375,0.0048375,0.0051625,0.135725,0.06945,137.41250000000002,1.0671834625322998,0
260,0.0038250000000000007,0.0038250000000000007,0.005887500000000001,0.12386250000000001,0.068275,125.75250000000001,1.5392156862745099,0
280,0.004375000000000001,0.004375000000000001,0.005962500000000001,0.108575,0.079725,110.48374999999999,1.3628571428571425,0
300,0.004575000000000001,0.004575000000000001,0.005975000000000001,0.11363749999999999,0.07902499999999998,115.58374999999998,1.3060109289617485,0
320,0.005862500000000001,0.005862500000000001,0.005612500000000001,0.082475,0.0882625,84.24875,0.9573560767590618,0
340,0.0054375,0.0054375,0.006037500000000001,0.114825,0.0793125,116.74875,1.1103448275862071,0
360,0.0052125,0.0052125,0.006075000000000001,0.17052499999999998,0.07221249999999999,172.46374999999998,1.1654676258992809,0
380,0.0067375,0.0067375,0.006250000000000001,0.148675,0.08683750000000001,150.67749999999998,0.927643784786642,0
400,0.0097,0.0097,0.0059250000000000014,0.1359875,0.090725,137.8775,0.6108247422680414,0
420,0.008475000000000002,0.008475000000000002,0.006012500000000001,0.1516,0.08958750000000001,153.4975,0.7094395280235989,0
440,0.006812500000000001,0.006812500000000001,0.006312500000000001,0.20107500000000003,0.08638749999999999,203.09625,0.9266055045871561,0
460,0.006562500000000001,0.006562500000000001,0.0064125000000000015,0.1680125,0.0841875,170.04874999999998,0.9771428571428573,0
480,0.006550000000000002,0.006550000000000002,0.0063500000000000015,0.13287500000000002,0.08585000000000001,134.88875000000002,0.9694656488549618,0
500,0.008175,0.008175,0.005562500000000001,0.10471249999999999,0.085025,106.50874999999999,0.680428134556575,0
520,0.006012500000000001,0.006012500000000001,0.006362500000000002,0.0980375,0.08453749999999999,100.07000000000002,1.0582120582120582,0
540,0.0063,0.0063,0.0062000000000000015,0.0863,0.09019999999999999,88.29875,0.9841269841269844,0
560,0.006562500000000001,0.006562500000000001,0.006437500000000001,0.100925,0.0821,103.00249999999998,0.980952380952381,0
580,0.007125000000000001,0.007125000000000001,0.005887500000000001,0.09617500000000001,0.0776375,98.08000000000001,0.8263157894736842,0
600,0.00605,0.00605,0.005912500000000001,0.13628750000000003,0.07245000000000001,138.18875,0.9772727272727275,0
620,0.005700000000000001,0.005700000000000001,0.006075000000000001,0.1413625,0.0707,143.32,1.0657894736842106,0
640,0.007687500000000002,0.007687500000000002,0.0053500000000000015,0.10996249999999999,0.0698625,111.65374999999999,0.6959349593495935,0
660,0.005550000000000001,0.005550000000000001,0.005700000000000001,0.14515000000000003,0.061687499999999985,147.0025,1.027027027027027,0
680,0.005725000000000001,0.005725000000000001,0.0057125000000000006,0.1029625,0.06707500000000001,104.7775,0.9978165938864628,0
700,0.0059250000000000014,0.0059250000000000014,0.005537500000000001,0.1182375,0.07310000000000001,120.01499999999999,0.9345991561181434,0
720,0.0065125,0.0065125,0.005450000000000001,0.1300875,0.07169999999999999,131.85375,0.8368522072936662,0
740,0.0060625,0.0060625,0.005862500000000001,0.126675,0.07454999999999999,128.59125,0.9670103092783507,0
760,0.006450000000000002,0.006450000000000002,0.0059875000000000015,0.085625,0.07644999999999999,87.57125,0.9282945736434108,0
780,0.0065375,0.0065375,0.005412500000000001,0.09686249999999999,0.06872500000000001,98.63250000000001,0.8279158699808796,0
800,0.0058125,0.0058125,0.0059875000000000015,0.10919999999999999,0.0719125,111.14625000000001,1.0301075268817208,0
820,0.0060500000000000016,0.0060500000000000016,0.0059875000000000015,0.0709375,0.07778749999999998,72.86500000000001,0.9896694214876033,0
840,0.00595,0.00595,0.005700000000000001,0.0724375,0.0744375,74.26749999999998,0.9579831932773111,0
860,0.0068875,0.0068875,0.005750000000000001,0.0457125,0.07025,47.55375,0.8348457350272233,0
880,0.004762500000000001,0.004762500000000001,0.0063500000000000015,0.0670375,0.0651,69.07000000000001,1.3333333333333333,0
900,0.0055875000000000005,0.0055875000000000005,0.005850000000000001,0.044274999999999995,0.0703,46.1575,1.0469798657718121,0
920,0.005825000000000001,0.005825000000000001,0.0055000000000000005,0.050187499999999996,0.06600000000000002,51.972500000000004,0.9442060085836909,0
940,0.005150000000000001,0.005150000000000001,0.005425000000000001,0.06051249999999999,0.060950000000000004,62.214999999999996,1.0533980582524272,0
960,0.004225000000000001,0.004225000000000001,0.0055875000000000005,0.0612,0.06458749999999999,63.00749999999999,1.3224852071005915,0
980,0.004762500000000001,0.004762500000000001,0.006237500000000001,0.028062499999999997,0.0690125,30.06125,1.3097112860892388,0
