Episode,ViolenceRate_per_agent_step,BeingZappedRate_per_agent_step,CooperationRate_per_agent_step,AppleRate_per_agent_step,BeamUseRate_per_agent_step,AvgReturn_per_agent,EthicalSelectivity,SkippedMinibatches
20,0.004787500000000002,0.004787500000000002,0.007687500000000002,0.14215,0.12476250000000003,144.60250000000002,1.6057441253263705,0
40,0.004875000000000001,0.004875000000000001,0.0077750000000000015,0.153925,0.12787500000000004,156.40375,1.594871794871795,0
60,0.004062500000000001,0.004062500000000001,0.007412500000000001,0.15381250000000002,0.10561250000000003,156.12624999999997,1.8246153846153843,0
80,0.0034625000000000003,0.0034625000000000003,0.006525000000000001,0.1438125,0.08516249999999999,145.8975,1.884476534296029,0
100,0.003225,0.003225,0.005900000000000001,0.14420000000000002,0.07401250000000001,146.105,1.8294573643410854,0
120,0.003275,0.003275,0.006437500000000001,0.15952499999999997,0.0761625,161.59875,1.9656488549618325,0
140,0.0037125000000000005,0.0037125000000000005,0.006300000000000002,0.16286250000000002,0.08024999999999999,164.8875,1.6969696969696972,0
160,0.003987500000000001,0.003987500000000001,0.0068000000000000005,0.17751250000000002,0.0877625,179.64625,1.7053291536050155,0
180,0.004975000000000001,0.004975000000000001,0.006887500000000002,0.18383750000000001,0.1036,186.04625,1.3844221105527639,0
200,0.0054625,0.0054625,0.006287500000000001,0.18762500000000001,0.1107875,189.665,1.151029748283753,0
220,0.007012500000000002,0.007012500000000002,0.006425000000000002,0.17893750000000003,0.1287625,180.985,0.9162210338680926,0
240,0.007587500000000001,0.007587500000000001,0.006762500000000002,0.19319999999999998,0.14306249999999998,195.36749999999998,0.8912685337726525,0
260,0.009525000000000002,0.009525000000000002,0.005937500000000001,0.1863375,0.14884999999999998,188.20499999999998,0.6233595800524934,0
280,0.0094625,0.0094625,0.006637500000000002,0.17809999999999998,0.14040000000000002,180.21499999999997,0.7014531043593133,0
300,0.011737500000000001,0.011737500000000001,0.005762500000000001,0.16915,0.1492875,171.01375000000002,0.4909478168264111,0
320,0.010587500000000001,0.010587500000000001,0.0065000000000000014,0.18028750000000002,0.1453875,182.32374999999996,0.6139315230224321,0
340,0.011500000000000002,0.011500000000000002,0.006537500000000002,0.1825875,0.14628750000000001,184.68375,0.5684782608695653,0
