Episode,ViolenceRate_per_agent_step,BeingZappedRate_per_agent_step,CooperationRate_per_agent_step,AppleRate_per_agent_step,BeamUseRate_per_agent_step,AvgReturn_per_agent,EthicalSelectivity,SkippedMinibatches
20,0.004187500000000001,0.004187500000000001,0.003875000000000001,0.14908749999999998,0.11786249999999998,149.8725,0.9253731343283582,0
40,0.0033250000000000003,0.0033250000000000003,0.003425,0.159325,0.07500000000000001,160.03,1.0300751879699248,0
60,0.001775,0.001775,0.0030500000000000006,0.17765,0.052700000000000004,178.2775,1.7183098591549297,0
80,0.0018750000000000004,0.0018750000000000004,0.0027500000000000003,0.1465375,0.0462375,147.10500000000002,1.4666666666666666,0
100,0.001175,0.001175,0.0021625000000000004,0.15162500000000004,0.02770000000000001,152.0725,1.8404255319148939,0
120,0.0008875,0.0008875,0.0020250000000000003,0.16754999999999995,0.021162499999999997,167.965,2.2816901408450705,0
140,0.0014625000000000003,0.0014625000000000003,0.0020875000000000004,0.18166249999999998,0.0261125,182.09749999999997,1.4273504273504274,0
160,0.0021000000000000003,0.0021000000000000003,0.0026125000000000002,0.18812500000000001,0.04115,188.66,1.244047619047619,0
180,0.0029000000000000007,0.0029000000000000007,0.0023625000000000005,0.17955000000000004,0.044349999999999994,180.04749999999999,0.814655172413793,0
200,0.0036625000000000004,0.0036625000000000004,0.00255,0.17602500000000001,0.04837500000000001,176.555,0.6962457337883958,0
220,0.003875000000000001,0.003875000000000001,0.0029375000000000004,0.178025,0.0525375,178.6375,0.7580645161290323,0
240,0.003400000000000001,0.003400000000000001,0.0025000000000000005,0.18699999999999997,0.04487499999999999,187.51749999999998,0.7352941176470588,0
260,0.0031875000000000007,0.0031875000000000007,0.0026500000000000004,0.173625,0.04606249999999999,174.16749999999996,0.8313725490196078,0
280,0.0028125000000000003,0.0028125000000000003,0.0027875000000000005,0.19472499999999998,0.0433625,195.305,0.9911111111111112,0
300,0.0022625000000000006,0.0022625000000000006,0.0028000000000000004,0.2008375,0.045325000000000004,201.42249999999999,1.2375690607734806,0
320,0.0034000000000000002,0.0034000000000000002,0.0027,0.1835375,0.0489375,184.0925,0.7941176470588235,0
340,0.0033250000000000003,0.0033250000000000003,0.0025625,0.19763749999999997,0.044524999999999995,198.175,0.7706766917293233,0
360,0.004125000000000001,0.004125000000000001,0.0026500000000000004,0.18051250000000002,0.0511,181.05750000000003,0.6424242424242423,0
380,0.003812500000000001,0.003812500000000001,0.0023500000000000005,0.16891250000000002,0.05289999999999999,169.40249999999997,0.6163934426229508,0
400,0.0036500000000000005,0.0036500000000000005,0.0024000000000000002,0.16706249999999997,0.049824999999999994,167.57,0.6575342465753424,0
420,0.0035625000000000006,0.0035625000000000006,0.0029000000000000007,0.17275,0.051675000000000006,173.3475,0.8140350877192983,0
440,0.0044,0.0044,0.0025125,0.192725,0.05395,193.2575,0.5710227272727272,0
460,0.0053125,0.0053125,0.0027250000000000004,0.16786249999999997,0.0632875,168.425,0.5129411764705882,0
480,0.005275000000000001,0.005275000000000001,0.0029125000000000006,0.18159999999999998,0.05993750000000001,182.19249999999997,0.5521327014218009,0
500,0.004287500000000001,0.004287500000000001,0.002775,0.175325,0.060275,175.895,0.6472303206997083,0
520,0.003962500000000001,0.003962500000000001,0.0029000000000000007,0.17935000000000004,0.05833750000000001,179.9625,0.7318611987381703,0
540,0.0037875000000000005,0.0037875000000000005,0.0026375,0.15778750000000002,0.05831249999999999,158.34000000000003,0.6963696369636962,0
560,0.0040750000000000005,0.0040750000000000005,0.0029000000000000007,0.17325,0.05450000000000001,173.84249999999997,0.7116564417177915,0
580,0.0034875,0.0034875,0.0027875000000000005,0.1865125,0.047675,187.08249999999998,0.7992831541218639,0
600,0.0034375000000000005,0.0034375000000000005,0.0026000000000000003,0.1794625,0.04403749999999999,180.01000000000002,0.7563636363636363,0
620,0.0035625000000000006,0.0035625000000000006,0.002362500000000001,0.15175,0.0396375,152.2325,0.6631578947368423,0
640,0.0037875000000000005,0.0037875000000000005,0.0020750000000000005,0.1455125,0.0359,145.945,0.5478547854785479,0
660,0.0029749999999999998,0.0029749999999999998,0.0020750000000000005,0.17354999999999998,0.0303875,173.98749999999998,0.6974789915966388,0
680,0.0030375000000000007,0.0030375000000000007,0.0022625000000000006,0.17021250000000002,0.029012500000000004,170.68249999999998,0.7448559670781894,0
